Start	2224	272298
Dump	2224	326251
0x931ba870	Lcom/fgrim/msnake/MSnake;	onCreate	(Landroid/os/Bundle;)V		143	11001001001001001101010100100110100101001001101001010010011010010011001100110011001100110100110011010010010101001010101100100000000000000000000
0x931ba8ac	Lcom/fgrim/msnake/MSnake;	onCreateDialog	(I)Landroid/app/Dialog;		724	1001100110001101010100110100100101010011010101001101010010010100100101001001001010011010101010010100110101010100101001101010101001010011010101010101010101010000000000000000010010101010010101001001010101001010100100110101001010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010100110100100101010011010101001101010010010100100101001001001010101001010100100110101001010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010010010101001101001101001100101010011010010011001010100110100100100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0x931ba8e8	Lcom/fgrim/msnake/MSnake;	onCreateOptionsMenu	(Landroid/view/Menu;)Z		74	10011010010010011001100100110010010011001100100110010010011001100100110011
0x931ba924	Lcom/fgrim/msnake/MSnake;	onOptionsItemSelected	(Landroid/view/MenuItem;)Z		52	1100110000001101001101010010000000000000000000000000
0x931ba99c	Lcom/fgrim/msnake/MSnake;	onPrepareDialog	(ILandroid/app/Dialog;)V		158	11001101010101001001010100000000010101000000000101010000000000000000000101001001101010101001001000000000101010000000000101001001000000000000000000000000000000
0x931ba9d8	Lcom/fgrim/msnake/MSnake;	onPrepareOptionsMenu	(Landroid/view/Menu;)Z		17	10100111010110011
0x931baa14	Lcom/fgrim/msnake/MSnake;	onResume	()V		17	10010100110101001
0x931baac8	Lcom/fgrim/msnake/MSnake;	setCorrectButtons	()V		188	11111011010010011010100100110101001001101010010011010110010011010110010011010101010000000000000000000000000000000001101010000000000000000000000000000000000101001010010100101001101001101001
0x931ba560	Lcom/fgrim/msnake/MSnake;	<clinit>	()V		5	10101
0x931ba59c	Lcom/fgrim/msnake/MSnake;	<init>	()V		4	1001
0x931ba5d8	Lcom/fgrim/msnake/MSnake;	access$000	(Lcom/fgrim/msnake/MSnake;)Landroid/widget/RadioGroup;		3	101
0x931ba614	Lcom/fgrim/msnake/MSnake;	access$100	(Lcom/fgrim/msnake/MSnake;)Lcom/fgrim/msnake/SnakeView;		3	101
0x931ba650	Lcom/fgrim/msnake/MSnake;	access$200	(Lcom/fgrim/msnake/MSnake;)Landroid/widget/RadioGroup;		3	101
0x931ba68c	Lcom/fgrim/msnake/MSnake;	access$300	(Lcom/fgrim/msnake/MSnake;)Landroid/widget/RadioGroup;		3	101
0x931ba6c8	Lcom/fgrim/msnake/MSnake;	access$400	(Lcom/fgrim/msnake/MSnake;)Landroid/widget/RadioGroup;		3	101
0x931bd518	Lcom/fgrim/msnake/SnakeView$Coordinate;	equals	(Lcom/fgrim/msnake/SnakeView$Coordinate;)Z		16	1010101010100111
0x931bd4d8	Lcom/fgrim/msnake/SnakeView$Coordinate;	<init>	(Lcom/fgrim/msnake/SnakeView;II)V		10	1010010101
0x931bbf28	Lcom/fgrim/msnake/TileView;	clearTiles	()V		21	110101101011001011011
0x931bbfa0	Lcom/fgrim/msnake/TileView;	internalRecalcTileGrid	(II)V		74	10101100111010101100111010011010111010100110101110101010100110100110101001
0x931bbfdc	Lcom/fgrim/msnake/TileView;	loadBitmapTile	(ILandroid/graphics/drawable/Drawable;)V		31	1101010100110100101010010010101
0x931bc018	Lcom/fgrim/msnake/TileView;	onDraw	(Landroid/graphics/Canvas;)V		57	100110101101010101010101010101010101111010111101001011011
0x931bc054	Lcom/fgrim/msnake/TileView;	onSizeChanged	(IIII)V		4	1001
0x931bc0cc	Lcom/fgrim/msnake/TileView;	resetBitmapTiles	(I)V		5	10101
0x931bc108	Lcom/fgrim/msnake/TileView;	setTile	(III)V		7	1010101
0x931bbe70	Lcom/fgrim/msnake/TileView;	<clinit>	()V		5	10101
0x931bbeac	Lcom/fgrim/msnake/TileView;	<init>	(Landroid/content/Context;Landroid/util/AttributeSet;)V		11	10010100101
0x931bb900	Lcom/fgrim/msnake/SnakeView;	changeSpeed	()V		57	110011001101010110100101010010011001001100110010000000000
0x931bb93c	Lcom/fgrim/msnake/SnakeView;	changeWalls	()V		57	110011001101010010100101000000001001001100110011110010011
0x931bb9b4	Lcom/fgrim/msnake/SnakeView;	getMode	()I		3	101
0x931bba2c	Lcom/fgrim/msnake/SnakeView;	initNewGame	()V		106	1110100101001010100100101011001001010110010010101100100101011001001010110010011010101001001010101010101101
0x931bba68	Lcom/fgrim/msnake/SnakeView;	onKeyDown	(ILandroid/view/KeyEvent;)Z		89	11111010000000010000000000000000000000001010000000010101010101101010101011010101010110011
0x931bbaa4	Lcom/fgrim/msnake/SnakeView;	onSizeChanged	(IIII)V		30	100101010110100100110100000000
0x931bbae0	Lcom/fgrim/msnake/SnakeView;	onTouchEvent	(Landroid/view/MotionEvent;)Z		154	1011111001101001101001101010110011010101010100110101001101001100110101000000000000000010101001000000000000000000000000000000000000000000000000000000000000
0x931bbb1c	Lcom/fgrim/msnake/SnakeView;	restorePreferences	(Landroid/content/SharedPreferences;)V		197	11110101001101010011010101010011010100110101010011010101001101010100110101101001101011010011010110100110101101001101011010011010101010011010101010011010101010011010101010011010100110101001101001001
0x931bbc0c	Lcom/fgrim/msnake/SnakeView;	setMode	(I)V		182	10011110101001011011101011001001001111110011001101010010011010101001001001010011100000000000000000000000000000000000000000000000000000001010010100100000000000000000000000000000000000
0x931bbc48	Lcom/fgrim/msnake/SnakeView;	setRecordView	(Landroid/widget/TextView;)V		3	101
0x931bbc84	Lcom/fgrim/msnake/SnakeView;	setScoreView	(Landroid/widget/TextView;)V		3	101
0x931bbcc0	Lcom/fgrim/msnake/SnakeView;	setTextView	(Landroid/widget/TextView;)V		3	101
0x931bbcfc	Lcom/fgrim/msnake/SnakeView;	setTileSizes	(II)V		35	10101101000101000000000000000000001
0x931bbd38	Lcom/fgrim/msnake/SnakeView;	setVibrator	(Landroid/os/Vibrator;)V		3	101
0x931bbd74	Lcom/fgrim/msnake/SnakeView;	update	()V		32	10110100110101010101001010101001
0x931bbdb0	Lcom/fgrim/msnake/SnakeView;	updateElements	()V		13	1001001001001
0x931bb488	Lcom/fgrim/msnake/SnakeView;	<clinit>	()V		8	10100101
0x931bb4c4	Lcom/fgrim/msnake/SnakeView;	<init>	(Landroid/content/Context;Landroid/util/AttributeSet;)V		154	1011011100101010101101001010101010101010101010101010101010100101010010101001010101001010101001010100101101010101100100000000000000000000000000000000000000
0x931bb578	Lcom/fgrim/msnake/SnakeView;	addRandomApple	()V		11	11001101001
0x931bb668	Lcom/fgrim/msnake/SnakeView;	findFreeCoordinate	()Lcom/fgrim/msnake/SnakeView$Coordinate;		146	11101010101001101010101001101010011010011101010011010011000000001011010011101010011010011000000001011010000000000000000101000000000000000010110001
0x931bb6a4	Lcom/fgrim/msnake/SnakeView;	initSnakeView	()V		117	110010011001101001001001100110100110011001001100110010011001100100110011001001100110010011001010010011001010010011001
0x931bb6e0	Lcom/fgrim/msnake/SnakeView;	setRecordIndex	()V		54	111010101000010101010101101010100001010000010101101000
0x931bb71c	Lcom/fgrim/msnake/SnakeView;	updateApples	()V		60	101001100110100110110101001101000000000000010100000000000001
0x931bb758	Lcom/fgrim/msnake/SnakeView;	updateScore	()V		101	10100110011010010100110010011001101001101001100110100101001001001100110100110101010011010011001101001
0x931bb794	Lcom/fgrim/msnake/SnakeView;	updateSnake	()V		932	11110101010100110101010101010100101010101010101010100101010101010101010101010101010101010101010101010101010101010000000000000000000000001101010101010101010100110101010101010101010011010101010101010101001010101010101010101010010101010101010101010101010101000000010101000000000101010101010100000001010101001110101010101010011010011000000000000000000000000001011010101001110101010101001101001100000000000000000000000000000000000000000000000000000000000000000000000000000000010101010000000000000000000000000000000000000000000000000000000000000000000000000000001010101000000000000000000000000000000000000000000000000000000000000000000000000000000101010101010100101010101010101001101001101010100110011010011010101010100000000000000000000001010101010101010101010101011010000010101010101010101010101010100110101010101010101010011011010101010101010101001100001000010101010101010101101010000000000000000000000101101010100000000000000000000000
0x931bb7d0	Lcom/fgrim/msnake/SnakeView;	updateWalls	()V		45	111010111010100101010010111010101001010100101
0x931c4640	Lcom/fgrim/msnake/MSnake$1;	onClick	(Landroid/content/DialogInterface;I)V		191	11101001100110010010100110101010011001010011001100101101001101010100110011010011001100101101001100110010010100110100000000001101001100110010010100110011001011010011010000001010011001001110000
0x931c4600	Lcom/fgrim/msnake/MSnake$1;	<init>	(Lcom/fgrim/msnake/MSnake;)V		6	101001
0x931c46f0	Lcom/fgrim/msnake/MSnake$2;	<init>	(Lcom/fgrim/msnake/MSnake;)V		6	101001
0x931bdc78	Lcom/fgrim/msnake/MSnake$5;	onClick	(Landroid/content/DialogInterface;I)V		13	1010011101001
0x931bdc38	Lcom/fgrim/msnake/MSnake$5;	<init>	(Lcom/fgrim/msnake/MSnake;)V		6	101001
0x931c1e88	Lcom/fgrim/msnake/MSnake$7;	<init>	(Lcom/fgrim/msnake/MSnake;)V		6	101001
0x931c1dd8	Lcom/fgrim/msnake/MSnake$8;	onClick	(Landroid/content/DialogInterface;I)V		11	10101001001
0x931c1d98	Lcom/fgrim/msnake/MSnake$8;	<init>	(Lcom/fgrim/msnake/MSnake;)V		6	101001
0x931bd628	Lcom/fgrim/msnake/SnakeView$RefreshHandler;	handleMessage	(Landroid/os/Message;)V		11	10100101001
0x931bd664	Lcom/fgrim/msnake/SnakeView$RefreshHandler;	sleep	(J)V		12	110010011001
0x931bd5e8	Lcom/fgrim/msnake/SnakeView$RefreshHandler;	<init>	(Lcom/fgrim/msnake/SnakeView;)V		6	101001
